"CaseNumber","DateOfRequestReceived","Division-Branch","ApplicantCategory","Outcomes","ExemptionsApplied","DateOfResponseSent","DaysTakenToComplete","RequestWording"
"1974","2016-12-13","HR","Member of the Public","Not held","n/a","2017-01-13","20","Please can you advise on the number of employees disciplined for the misuse of social media within your organisation over the last four years?In each incident please include the channel (Facebook, twitter) incident detail (crude comments about colleague) and the action taken (Written warning).Please break this down by year covering 2016, 2015, 2014, 2013"
"1975","2016-12-14","Ops","Industry","Normal business","n/a","","","We are a group of companies that have Meat-Process Companies in Belgium, Germany and Netherlands. We import 15.000 Halal Chicken per week. Our halal slaughtering conditions are: 1. Before slaughtering, there will be NO STUNNING. 2. The slaughtering will be done by hand.2. After slaughtering, there will not be HOT WATER SCALDING process before plucking. The plucking will be done DRY-PLUCKING.  It means, our process is similar to Kosher Slaughtering. Can you send us the list of the slaughterhouse in England which makes Halal and Kosher Slaughtering."
"1976","2016-12-13","UKFSS","Industry","Part withheld","s43","2017-02-13","41","Please provide the names of the retailers and brands (and salmon farming companies if identified) responsible for the unsatisfactory test?"
"1977","2016-12-14","IT","Member of the Public","All provided","n/a","2016-12-22","6","Under the Freedom of Information Act (2000), I ask you to kindly provide answers to the following questions: ? The total number of IT staff employed by the organisation  ? Please list and provide contact details for the IT senior management team including CIO, IT Director, Head of IT and Infrastructure Architects if applicable  ? Please confirm your current primary storage vendors and replacement/refresh dates.  ? Please confirm your current backup/data recovery vendors and replacement/refresh dates.  ? Please confirm your server vendor and replacement/refresh date  ? Please confirm data centre refresh date.  ? Please confirm the amount of used storage and number of virtual / physical servers.  ? Please confirm if you are utilising desktop virtualisation technologies and if so how many users do you provide services for?  ? Please confirm which hypervisor you are currently using?  ? Total available budget for IT infrastructure for FY16/17 and FY17/18. "
"1978","2016-12-13","Meat Hygiene Policy / Legal ","Legal","All withheld","s31","2017-01-12","20","There is an email referred to in paragraph 16, subparagraph 35 of R (on the application of Newby Foods Limited) v Food Standards Agency [2016] EWHC 408 (Admin), if possible, please provide us with this email."
"1979","2016-12-16","Private Office","What do they know","All provided","n/a","2017-01-18","20","Please can I have a organisation structure of all IT, Procurement, Finance and HR services within your organisation, including team name, phone number and team managers name?"
"1980","2016-12-19","Consumer Protection ","Business","Part withheld","s43","2017-01-18","19","I wish to make a formal request under the FREEDOM OF INFORMATION ACT for the information found in your agency investigation' regarding the finding of higher than normal levels of Xylene in Lidl's food product Karnia Gravy Granules. I specifically wish to know what levels you found of Xylene, over and above the 100ppm max level guidance, used by Safety Agencies.As this concerns ingestion rather than inhalation-(which is the Usual Hazard found with paint strippers etc) this implies thatthere may be a greater risk of damage to organs of the body. If you have any information regarding such health risks please would you be so kind as to forward this to me."
"1981","2016-12-19","Openness Team ","What do they know","Not held","n/a","2016-12-21","2","Could you please provide the minimum and maximum payscales for the four main analytical professions broken down by profession, grade, and location: - Economists (GES) - Social Researchers (GSR) - Statisticians (GSS) - Operational Researchers (GORS)."
"1982","2016-12-22","Private Office","Pressure Group","Not held","n/a","2016-12-28","1","We would like to request for the following information under a Freedom of Information Request:? Wassen International dossier for the use of sodium borate in the manufacture of food supplements in accordance with Directive 2002/46/EC i.e. EC Regulation 1170/2009.This dossier includes the evidence used by the European Food Safety Authority (EFSA) in its positive assessment of the nutrient form that then led to its acceptance as a permitted form for use in the manufacture of food supplements throughout the EU, as reflected in the FSA's guidance from 2011."
"1983","2016-12-19","Consumer Protection ","Member of the Public","All provided","n/a","2017-01-18","19","Could you please tell me exactly what levels of Xylene were found by the FSA to be contained within this product.I would also like to know what the FSA considers to be the MRL for injestion of Xylene"
"1984","2016-12-23","Private Office","Academia","Not held","n/a","2016-12-28","1","I would like to request information under the Freedom of Information Act regarding responses to the 14 week public consultation on 'proposals for recommendations to industry on saturated fat and added sugar reductions, and portion size availability for biscuits, cakes, buns, chocolate confectionary and soft drinks' (first published 28/7/2009) This should total 58 responses to the consultation exercise that were received by the FSA - 39 from industry organisations, 9 health organisations, 2 academic organisations, and 8 from consumer organisations, individual consumers, and other organisation."
"1985","2016-12-23","Operations","Business","All provided","n/a","2017-01-25","20","Please could you direct me to where I could find data showing the number and reasons of condemnations of lamb carcasses for the UK kill in 2015 and 2016 please"
"1986","2016-12-29","LAEMS","Member of the Public","Not held","n/a","2017-01-10","8","I would like to obtain the following information:1. The number of menu description* breaches / non compliance recorded by FSA at restaurants and takeaways in England, Wales and Scotland in 2015/16, 2014/15 and 2013/14 with details of the breach / problems found. 2. if possible, please split the above information into both (a) regions e.g. North East and (b) districts e.g. Barking and Dagenham.3. if possible, please split these into which area of menu description rules was breached - i.e. was it mislabelled as home-made, etc.4. can I have a list of establishments with breaches and details of the breaches broken down into (a) regions and (b) districts* based on trading standards rules, there are regulations about when labelling something 'home-made,' 'fresh,' or 'vegetarian' amongst others."
"1987","2016-12-31","Private Office","Member of the Public","All provided","n/a","2017-01-30","19","I would like to request the FOI responses for the last calendar year. To clarify:> Please send a zip file (or some other way of grouping files) of all final responses and any attachments of all FOI requests you have responded to from January 1st 2016 to today. > If you consider this to take more than the acceptable time limit please provide your FOI log (or equivalent report / Excel spreadsheets) indexing requests and their outcomes.> I am aware you may have over 500 requests to compile but please bear in mind the final responses I am asking for should already be considered in the public domain and as such should not need redacting. I hope this makes this request a little less troublesome."
"1988","2016-12-22","UKFSS","Media","Vexatious","s14","2017-02-21","40","1. For the calendar year 2016 so far, how many DNA speciation tests carried out by local authorities on meat and fish products produced unsatisfactory results. 2. For the calendar year 2015, how many DNA speciation tests carried out by local authorities on meat and fish products produced unsatisfactory results. 3. Please provide details of the unsatisfactory 2016 speciation tests, including where available:a) the product testedb) the brand name of the product c) the manufacturer of the product d) the distributor of the producte) the seller of the productf) the name of the catering supplier or restaurant the product was obtained fromg) the species the product was labelled as beingh) the species found by the testingi) the quantities of the species that were found by the testing (ie. percentage of each species found)Please provide all results kept on your databases, and all sample results.4. Please provide copies of any reports completed by your organisation (or on behalf of your organisation) in the calendar year 2016 so far, about unsatisfactory meat and fish test results found by local authorities as a result of DNA speciation testing."
